event,mp,ammo,mre,part,item_num,rank,equip_id,name,mean%,stdev%,equip_total,equip_count
000 圣建（23春节）,10,10,10,10,1,2,1,BM 3-12X40,10.127,0.431,4888,495
000 圣建（23春节）,10,10,10,10,1,2,5,EOT 506,10.065,0.430,4888,492
000 圣建（23春节）,10,10,10,10,1,2,9,AMP COMPM2,9.268,0.415,4888,453
000 圣建（23春节）,10,10,10,10,1,2,13,PEQ-2,6.444,0.351,4888,315
000 圣建（23春节）,10,10,10,10,1,2,37,IOP T1外骨骼,1.616,0.180,4888,79
000 圣建（23春节）,10,10,10,10,1,2,55,IOP X1外骨骼,1.596,0.179,4888,78
000 圣建（23春节）,10,10,10,10,1,2,63,AC1消音器,7.099,0.367,4888,347
000 圣建（23春节）,10,10,10,10,1,2,87,破旧披风,5.094,0.314,4888,249
000 圣建（23春节）,10,10,10,10,1,3,2,LRA 2-12x50,3.642,0.268,4888,178
000 圣建（23春节）,10,10,10,10,1,3,6,EOT 512,3.887,0.276,4888,190
000 圣建（23春节）,10,10,10,10,1,3,10,AMP COMPM4,3.785,0.273,4888,185
000 圣建（23春节）,10,10,10,10,1,3,14,PEQ-5,2.435,0.220,4888,119
000 圣建（23春节）,10,10,10,10,1,3,38,IOP T2外骨骼,0.471,0.098,4888,23
000 圣建（23春节）,10,10,10,10,1,3,42,Type1防弹插板,3.764,0.272,4888,184
000 圣建（23春节）,10,10,10,10,1,3,56,IOP X2外骨骼,0.389,0.089,4888,19
000 圣建（23春节）,10,10,10,10,1,3,64,AC2消音器,1.759,0.188,4888,86
000 圣建（23春节）,10,10,10,10,1,3,88,伪装披风,1.596,0.179,4888,78
000 圣建（23春节）,10,10,10,10,1,3,222,RMR红点,5.217,0.318,4888,255
000 圣建（23春节）,10,10,10,10,1,3,232,试制运算芯片,7.754,0.382,4888,379
000 圣建（23春节）,10,10,10,10,1,4,3,PSO-1,1.268,0.160,4888,62
000 圣建（23春节）,10,10,10,10,1,4,7,EOT 516,1.780,0.189,4888,87
000 圣建（23春节）,10,10,10,10,1,4,11,COG M150,1.309,0.163,4888,64
000 圣建（23春节）,10,10,10,10,1,4,15,PEQ-15,0.921,0.137,4888,45
000 圣建（23春节）,10,10,10,10,1,4,39,IOP T3外骨骼,0.061,0.035,4888,3
000 圣建（23春节）,10,10,10,10,1,4,43,Type2防弹插板,0.777,0.126,4888,38
000 圣建（23春节）,10,10,10,10,1,4,57,IOP X3外骨骼,0.041,0.029,4888,2
000 圣建（23春节）,10,10,10,10,1,4,65,AC3消音器,0.675,0.117,4888,33
000 圣建（23春节）,10,10,10,10,1,4,89,城市迷彩披风,0.777,0.126,4888,38
000 圣建（23春节）,10,10,10,10,1,4,223,RMR T2红点,2.680,0.231,4888,131
000 圣建（23春节）,10,10,10,10,1,4,233,#1运算芯片,2.209,0.210,4888,108
000 圣建（23春节）,10,10,10,10,1,5,4,VFL 6-24X56,0.143,0.054,4888,7
000 圣建（23春节）,10,10,10,10,1,5,8,EOT 518,0.102,0.046,4888,5
000 圣建（23春节）,10,10,10,10,1,5,12,ITI MARS,0.123,0.050,4888,6
000 圣建（23春节）,10,10,10,10,1,5,16,PEQ-16A,0.041,0.029,4888,2
000 圣建（23春节）,10,10,10,10,1,5,40,IOP T4外骨骼,0.020,0.020,4888,1
000 圣建（23春节）,10,10,10,10,1,5,44,Type3防弹插板,0.082,0.041,4888,4
000 圣建（23春节）,10,10,10,10,1,5,66,AC4消音器,0.184,0.061,4888,9
000 圣建（23春节）,10,10,10,10,1,5,90,热光学迷彩披风,0.143,0.054,4888,7
000 圣建（23春节）,10,10,10,10,1,5,224,RMR T4红点,0.286,0.076,4888,14
000 圣建（23春节）,10,10,10,10,1,5,234,#2运算芯片,0.164,0.058,4888,8
000 圣建（23春节）,10,10,10,10,1,5,305,SF武器灯改,0.061,0.035,4888,3
000 圣建（23春节）,10,10,10,10,1,5,309,专注芯片,0.143,0.054,4888,7
000 圣建（23春节）,10,150,90,100,1,2,1,BM 3-12X40,1.604,0.235,2867,46
000 圣建（23春节）,10,150,90,100,1,2,5,EOT 506,1.325,0.214,2867,38
000 圣建（23春节）,10,150,90,100,1,2,9,AMP COMPM2,0.942,0.180,2867,27
000 圣建（23春节）,10,150,90,100,1,2,13,PEQ-2,0.942,0.180,2867,27
000 圣建（23春节）,10,150,90,100,1,2,17,M61穿甲弹,12.103,0.609,2867,347
000 圣建（23春节）,10,150,90,100,1,2,29,FMJ高速弹,3.627,0.349,2867,104
000 圣建（23春节）,10,150,90,100,1,2,37,IOP T1外骨骼,0.558,0.139,2867,16
000 圣建（23春节）,10,150,90,100,1,2,55,IOP X1外骨骼,0.732,0.159,2867,21
000 圣建（23春节）,10,150,90,100,1,2,63,AC1消音器,1.535,0.230,2867,44
000 圣建（23春节）,10,150,90,100,1,2,69,ILM空尖弹,3.209,0.329,2867,92
000 圣建（23春节）,10,150,90,100,1,2,73,#1猎鹿弹,2.895,0.313,2867,83
000 圣建（23春节）,10,150,90,100,1,2,77,BK独头弹,2.755,0.306,2867,79
000 圣建（23春节）,10,150,90,100,1,2,87,破旧披风,1.012,0.187,2867,29
000 圣建（23春节）,10,150,90,100,1,3,2,LRA 2-12x50,1.012,0.187,2867,29
000 圣建（23春节）,10,150,90,100,1,3,6,EOT 512,0.628,0.147,2867,18
000 圣建（23春节）,10,150,90,100,1,3,10,AMP COMPM4,1.116,0.196,2867,32
000 圣建（23春节）,10,150,90,100,1,3,14,PEQ-5,0.488,0.130,2867,14
000 圣建（23春节）,10,150,90,100,1,3,18,M993穿甲弹,10.534,0.573,2867,302
000 圣建（23春节）,10,150,90,100,1,3,30,JSP高速弹,3.418,0.339,2867,98
000 圣建（23春节）,10,150,90,100,1,3,38,IOP T2外骨骼,0.349,0.110,2867,10
000 圣建（23春节）,10,150,90,100,1,3,42,Type1防弹插板,3.558,0.346,2867,102
000 圣建（23春节）,10,150,90,100,1,3,56,IOP X2外骨骼,0.488,0.130,2867,14
000 圣建（23春节）,10,150,90,100,1,3,64,AC2消音器,0.698,0.155,2867,20
000 圣建（23春节）,10,150,90,100,1,3,70,ILM空尖弹,1.256,0.208,2867,36
000 圣建（23春节）,10,150,90,100,1,3,74,#0猎鹿弹,2.232,0.276,2867,64
000 圣建（23春节）,10,150,90,100,1,3,78,FST独头弹,1.395,0.219,2867,40
000 圣建（23春节）,10,150,90,100,1,3,88,伪装披风,0.558,0.139,2867,16
000 圣建（23春节）,10,150,90,100,1,3,222,RMR红点,1.849,0.252,2867,53
000 圣建（23春节）,10,150,90,100,1,3,232,试制运算芯片,2.407,0.286,2867,69
000 圣建（23春节）,10,150,90,100,1,4,3,PSO-1,0.558,0.139,2867,16
000 圣建（23春节）,10,150,90,100,1,4,7,EOT 516,0.419,0.121,2867,12
000 圣建（23春节）,10,150,90,100,1,4,11,COG M150,0.349,0.110,2867,10
000 圣建（23春节）,10,150,90,100,1,4,15,PEQ-15,0.384,0.115,2867,11
000 圣建（23春节）,10,150,90,100,1,4,19,Mk169穿甲弹,7.883,0.503,2867,226
000 圣建（23春节）,10,150,90,100,1,4,31,JHP高速弹,1.291,0.211,2867,37
000 圣建（23春节）,10,150,90,100,1,4,39,IOP T3外骨骼,0.209,0.085,2867,6
000 圣建（23春节）,10,150,90,100,1,4,43,Type2防弹插板,0.907,0.177,2867,26
000 圣建（23春节）,10,150,90,100,1,4,57,IOP X3外骨骼,0.279,0.098,2867,8
000 圣建（23春节）,10,150,90,100,1,4,65,AC3消音器,0.279,0.098,2867,8
000 圣建（23春节）,10,150,90,100,1,4,71,ILM空尖弹,0.314,0.104,2867,9
000 圣建（23春节）,10,150,90,100,1,4,75,#00猎鹿弹,0.663,0.152,2867,19
000 圣建（23春节）,10,150,90,100,1,4,79,WAD独头弹,0.767,0.163,2867,22
000 圣建（23春节）,10,150,90,100,1,4,89,城市迷彩披风,0.349,0.110,2867,10
000 圣建（23春节）,10,150,90,100,1,4,223,RMR T2红点,1.151,0.199,2867,33
000 圣建（23春节）,10,150,90,100,1,4,226,M33狙击弹,7.883,0.503,2867,226
000 圣建（23春节）,10,150,90,100,1,4,228,Mk900SLAP,2.128,0.269,2867,61
